customer_id,first_name,last_name,age,city,product,quantity,unit_price,amount
2677,Hannah,Williams,53,Chicago,Widget A,21,190,3990
3413,Fiona,Smith,36,Phoenix,Tool Beta,21,75,1575
2888,Charlie,Smith,47,San Diego,Widget A,15,91,1365
1718,Julia,Williams,31,San Diego,Tool Alpha,29,91,2639
1665,Fiona,Jones,57,Dallas,Gadget X,19,17,323
1953,Hannah,Davis,66,Phoenix,Tool Beta,47,21,987
4320,Diana,Brown,31,New York,Gadget Y,23,161,3703
1807,Ivan,Rodriguez,69,Phoenix,Gadget Y,30,120,3600
1210,Ivan,Davis,28,Phoenix,Tool Beta,31,101,3131
12,Julia,Martinez,73,San Jose,Widget B,32,125,4000
2817,Bob,Garcia,24,San Antonio,Tool Alpha,47,120,5640
3822,Bob,Brown,61,San Diego,Widget B,25,199,4975
4404,Julia,Davis,47,Phoenix,Tool Alpha,17,158,2686
2872,Hannah,Garcia,61,Houston,Gadget X,13,44,572
3913,Ivan,Garcia,39,Philadelphia,Widget B,36,46,1656
4252,Ivan,Johnson,46,San Jose,Gadget X,8,159,1272
161,George,Rodriguez,62,San Jose,Tool Alpha,3,191,573
977,Charlie,Williams,47,New York,Tool Beta,39,192,7488
3676,Charlie,Johnson,20,Houston,Gadget Y,5,65,325
4840,Charlie,Davis,19,San Antonio,Gadget X,27,148,3996
1487,Bob,Smith,34,Dallas,Widget A,32,186,5952
1126,Diana,Miller,40,Los Angeles,Tool Beta,7,112,784
4616,Alice,Davis,75,Philadelphia,Gadget Y,35,37,1295
3738,Hannah,Johnson,37,Los Angeles,Gadget Y,31,17,527
1654,Bob,Smith,46,Houston,Gadget Y,41,184,7544
919,Diana,Brown,67,San Jose,Tool Alpha,32,107,3424
697,Diana,Rodriguez,40,Los Angeles,Tool Beta,11,162,1782
3995,Edward,Rodriguez,25,Philadelphia,Tool Alpha,32,39,1248
723,Fiona,Miller,62,Los Angeles,Widget B,45,87,3915
3628,Fiona,Martinez,72,San Antonio,Tool Alpha,2,122,244
4338,Alice,Williams,56,Philadelphia,Widget A,9,48,432
1165,Diana,Davis,67,Chicago,Gadget Y,27,103,2781
3928,George,Jones,35,Philadelphia,Widget B,39,16,624
474,Fiona,Brown,62,San Jose,Tool Beta,22,172,3784
704,Alice,Brown,67,Dallas,Tool Beta,44,72,3168
38,Fiona,Rodriguez,61,Phoenix,Gadget Y,35,33,1155
929,Julia,Jones,48,Los Angeles,Widget B,7,13,91
4196,Hannah,Johnson,59,Phoenix,Widget B,50,106,5300
50,Edward,Smith,31,San Antonio,Widget B,14,24,336
4982,Charlie,Davis,69,Philadelphia,Tool Beta,11,80,880
839,Alice,Johnson,31,Chicago,Tool Alpha,37,154,5698
3780,George,Smith,26,New York,Gadget Y,44,151,6644
603,Fiona,Rodriguez,38,Phoenix,Gadget Y,27,147,3969
3003,Fiona,Johnson,27,New York,Tool Alpha,19,129,2451
1135,Edward,Garcia,61,San Diego,Widget B,34,48,1632
1829,Charlie,Smith,27,San Jose,Widget A,4,191,764
4502,Diana,Brown,22,Phoenix,Widget B,50,72,3600
3795,Diana,Davis,28,New York,Gadget Y,20,86,1720
3057,Alice,Davis,66,San Diego,Tool Beta,16,87,1392
1800,Fiona,Brown,58,San Diego,Widget A,26,38,988
4026,Alice,Garcia,21,San Jose,Widget B,1,12,12
920,Bob,Garcia,37,San Diego,Tool Beta,32,142,4544
3151,Fiona,Martinez,65,Houston,Tool Alpha,31,52,1612
367,Fiona,Williams,60,New York,Tool Alpha,25,83,2075
4528,Charlie,Garcia,18,San Antonio,Tool Alpha,17,137,2329
236,Bob,Brown,55,San Jose,Tool Alpha,5,84,420
3871,George,Rodriguez,62,New York,Widget A,29,177,5133
436,Diana,Williams,40,San Jose,Tool Beta,43,40,1720
2879,George,Johnson,41,Dallas,Widget B,49,25,1225
336,Diana,Miller,71,Dallas,Tool Alpha,19,136,2584
4578,Hannah,Garcia,58,San Jose,Widget A,33,119,3927
2582,George,Davis,40,San Jose,Gadget Y,44,168,7392
1183,Fiona,Williams,33,New York,Tool Alpha,22,108,2376
3488,Julia,Smith,41,Philadelphia,Widget A,35,167,5845
3851,Hannah,Garcia,28,San Diego,Widget B,28,136,3808
3956,Bob,Williams,23,Dallas,Tool Beta,44,90,3960
3580,George,Smith,69,New York,Widget A,17,194,3298
3363,Alice,Rodriguez,25,San Jose,Gadget Y,1,62,62
4260,Edward,Davis,19,New York,Widget B,15,140,2100
4065,Fiona,Garcia,36,Philadelphia,Widget A,21,95,1995
395,Fiona,Davis,43,Chicago,Tool Alpha,49,43,2107
1356,Julia,Martinez,40,Philadelphia,Widget A,1,77,77
3363,Alice,Rodriguez,25,San Jose,Gadget Y,1,62,62
456,Julia,Miller,51,San Diego,Widget B,25,133,3325
2032,George,Brown,41,Philadelphia,Widget B,19,106,2014
2964,Ivan,Smith,73,San Jose,Gadget Y,11,79,869
3617,Diana,Williams,67,Phoenix,Gadget Y,1,23,23
1276,Bob,Williams,23,Dallas,Widget A,13,169,2197
643,George,Williams,24,Houston,Gadget Y,32,183,5856
4479,Edward,Jones,66,Los Angeles,Widget A,23,88,2024
3679,Edward,Johnson,50,Chicago,Tool Beta,45,152,6840
1406,Julia,Williams,55,Chicago,Tool Alpha,40,111,4440
47,Bob,Miller,72,San Jose,Widget B,34,92,3128
3448,Bob,Smith,45,Los Angeles,Gadget X,23,34,782
3438,Alice,Brown,71,New York,Tool Beta,7,193,1351
939,Ivan,Rodriguez,42,Phoenix,Widget B,8,58,464
2415,George,Garcia,41,New York,Widget B,22,191,4202
3558,Julia,Jones,32,Philadelphia,Gadget X,43,18,774
167,Fiona,Davis,40,Dallas,Tool Alpha,25,72,1800
3573,Alice,Davis,73,San Diego,Tool Beta,46,81,3726
3506,George,Williams,43,Philadelphia,Tool Alpha,40,141,5640
2327,Ivan,Williams,23,Houston,Gadget X,18,108,1944
